sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
AGH;NA;HACARITAMA;Aguachica;Cesar;Aeródromo;8.2473;-73.5821;AEROCIVIL;AEROCIVIL;1310;25;12202;12 | 30;700;9248;27/07/1987;NA;2C;Aerocivil;1245;20;20011,,,
AGI;NA;EL PARAISO;Aguachica;Cesar;Aeródromo;8.1258;-73.5806;SOCIEDAD CHARRY NARVAEZ;CELTA LTDA.;600;10;2500;01 | 19;328;1127;14/05/2015;11/06/2018;1A;Fumigación;6;20;20011,,,
AGJ;NA;JAMAICA;Aguazul;Casanare;Aeródromo;5.0905;-72.4462;VICTOR H-TORRES Z.;AVIOCOL LTDA.;750;10;2000;08 | 26;781;1054;28/02/2014;08/04/2017;1A;Fumigación;2;85;85010,,,
AGT;NA;AGUA BLANCA;Piedras;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;73;73547,,,
AGU;NA;MARIA ANGELICA;Aguazul;Casanare;Aeródromo;5.0546;-72.4471;GERMAN ERAZO;CELTA LTDA.;800;15;2000;16 | 34;720;4736;06/09/2013;42626;1A;Fumigación;5;85;85010,,,
AGY;NA;BASE PRINCIPAL CELTA;Aguachica;Cesar;Aeródromo;8.2002;-73.6313;CIA. EN LABORES TEC Y A;CELTA LTDA.;800;15;2500;06 | 24;305;5318;21/10/2014;12/11/2017;1A;Fumigación;543;20;20011,,,
AGZ;NA;AGUAZUL;Aguazul;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;85;85010,,,
AIH;NA;LA MANGA;Aipe;Huila;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;41;41016,,,
ALR;NA;ALFEMAR;Juradó;Chocó;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;389;27;27372,,,
ALT;NA;ALTAMIRA;Orocué;Casanare;Aeródromo;4.7586;-71.6386;PALMAR DE ALTAMIRA S.A.S.;PALMAR DE ALTAMIRA S.A.A;1100;15;5000;05 | 23;492;6124;24/12/2014;43128;1A;Privado;208;85;85230,,,
ALV;NA;EL DIAMANTE;Alvarado;Tolima;Aeródromo;4.5694;-74.9337;ELIAS ACOSTA Y CIA LTDA;CRUZ VERDE;620;10;2000;04 | 22;1312;4728;06/09/2013;42636;1A;Fumigación;2;73;73026,,,
AMA;NA;LA AMALIA;Ciénaga;Magdalena;Aeródromo;10.867;-74.1458;ADMINISTRACIONES Y SERVICIOS AEREOS S.A.S.;ASA S.A.S.;800;10;3000;16 | 34;482;5716;25/11/2014;02/12/2017;1A;Fumigación;NA;47;47189,,,
AMB;NA;EL SANTUARIO;Ambalema;Tolima;Aeródromo;4.9029;-74.7797;HACIENDA ZAPAYAN S.A.;HACIENDA ZAPAYAN S.A.;750;10;2800;14 | 32;830;02-22113;04/06/2015;04/07/2015;1A;Fumigación;2;73;73030,,,
AMN;NA;PORTUGALITO;Armenia;Quindío;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;63;63001,,,
ANN;NA;ANA MARIA;Agustín Codazzi;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;20;20013,,,
APO;APO;ANTONIO ROLDAN BETANCOURT;Carepa;Antioquia;Nacional;7.8118;-76.7164;AEROCIVIL;EN CONCESION- SOACN(Sociedad Operadora de Aeropuertos Centro Norte;2180;30;29.72 F/C/X/T;15 | 33;46;1590;10/06/1969;NA;4C;Aerocivil;40556;5;5147,,,
